Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
javascript.browser.security.eval-detected.eval-detected,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.",unresolved,2023-04-28T08:59:51.762552Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 24, 'column': 438, 'end_line': 24, 'end_column': 445}"
javascript.browser.security.eval-detected.eval-detected,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.",unresolved,2023-04-28T08:59:51.762547Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 26, 'column': 120, 'end_line': 26, 'end_column': 131}"
javascript.browser.security.eval-detected.eval-detected,"Detected the use of eval(). eval() can be dangerous if used to evaluate dynamic content. If this content can be input from outside the program, this may be a code injection vulnerability. Ensure evaluated content is not definable by external sources.",unresolved,2023-04-28T08:59:51.762542Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 41, 'column': 91, 'end_line': 41, 'end_column': 98}"
javascript.express.security.audit.xss.mustache.var-in-href.var-in-href,"Detected a template variable used in an anchor tag with the 'href' attribute. This allows a malicious actor to input the 'javascript:' URI and is subject to cross- site scripting (XSS) attacks. If using a relative URL, start with a literal forward slash and concatenate the URL, like this: href='/{{link}}'. You may also consider setting the Content Security Policy (CSP) header.",unresolved,2023-04-28T08:59:51.762538Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/templates/index.html', 'line': 12, 'column': 17, 'end_line': 12, 'end_column': 110}"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `c` function argument, this might allow an attacker to cause a Denial of Service (DoS) within your application as RegExP which blocks the main thread.",unresolved,2023-04-28T08:59:51.762533Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 55, 'column': 182, 'end_line': 55, 'end_column': 207}"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `c` function argument, this might allow an attacker to cause a Denial of Service (DoS) within your application as RegExP which blocks the main thread.",unresolved,2023-04-28T08:59:51.762528Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 55, 'column': 257, 'end_line': 55, 'end_column': 282}"
javascript.lang.security.audit.detect-non-literal-regexp.detect-non-literal-regexp,"RegExp() called with a `c` function argument, this might allow an attacker to cause a Denial of Service (DoS) within your application as RegExP which blocks the main thread.",unresolved,2023-04-28T08:59:51.762524Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 59, 'column': 141, 'end_line': 59, 'end_column': 191}"
javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",unresolved,2023-04-28T08:59:51.762520Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 3, 'column': 243, 'end_line': 3, 'end_column': 249}"
javascript.lang.security.audit.prototype-pollution.prototype-pollution-loop.prototype-pollution-loop,"Possibility of prototype polluting function detected. By adding or modifying attributes of an object prototype, it is possible to create attributes that exist on every object, or replace critical attributes with malicious ones. This can be problematic if the software depends on existence or non-existence of certain attributes, or uses pre-defined attributes of object prototype (such as hasOwnProperty, toString or valueOf). Possible mitigations might be: freezing the object prototype, using an object without prototypes (via Object.create(null) ), blocking modifications of attributes that resolve to object prototype, using Map instead of object.",unresolved,2023-04-28T08:59:51.762516Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 106, 'column': 440, 'end_line': 106, 'end_column': 449}"
python.django.security.audit.xss.template-href-var.template-href-var,Detected a template variable used in an anchor tag with the 'href' attribute. This allows a malicious actor to input the 'javascript:' URI and is subject to cross- site scripting (XSS) attacks. Use the 'url' template tag to safely generate a URL. You may also consider setting the Content Security Policy (CSP) header.,unresolved,2023-04-28T08:59:51.762511Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/templates/index.html', 'line': 12, 'column': 20, 'end_line': 12, 'end_column': 41}"
python.django.security.injection.raw-html-format.raw-html-format,"Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. To be sure this is safe, check that the HTML is rendered safely. Otherwise, use templates (`django.shortcuts.render`) which will safely render HTML instead.",unresolved,2023-04-28T08:59:51.762507Z,medium,medium,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 103, 'column': 16, 'end_line': 112, 'end_column': 22}"
python.flask.security.audit.render-template-string.render-template-string,Found a template created with string formatting. This is susceptible to server-side template injection and cross-site scripting attacks.,unresolved,2023-04-28T08:59:51.762502Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 114, 'column': 12, 'end_line': 114, 'end_column': 85}"
python.flask.security.audit.render-template-string.render-template-string,Found a template created with string formatting. This is susceptible to server-side template injection and cross-site scripting attacks.,unresolved,2023-04-28T08:59:51.762498Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 281, 'column': 28, 'end_line': 281, 'end_column': 95}"
python.flask.security.injection.raw-html-concat.raw-html-format,"Detected user input flowing into a manually constructed HTML string. You may be accidentally bypassing secure methods of rendering HTML by manually constructing HTML and this could create a cross-site scripting vulnerability, which could let attackers steal sensitive user data. To be sure this is safe, check that the HTML is rendered safely. Otherwise, use templates (`flask.render_template`) which will safely render HTML instead.",unresolved,2023-04-28T08:59:51.762493Z,medium,medium,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 103, 'column': 16, 'end_line': 112, 'end_column': 22}"
python.flask.security.xss.audit.template-href-var.template-href-var,Detected a template variable used in an anchor tag with the 'href' attribute. This allows a malicious actor to input the 'javascript:' URI and is subject to cross- site scripting (XSS) attacks. Use 'url_for()' to safely generate a URL. You may also consider setting the Content Security Policy (CSP) header.,unresolved,2023-04-28T08:59:51.762489Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/templates/index.html', 'line': 12, 'column': 20, 'end_line': 12, 'end_column': 41}"
python.lang.security.audit.formatted-sql-query.formatted-sql-query,Detected possible formatted SQL query. Use parameterized queries instead.,unresolved,2023-04-28T08:59:51.762484Z,medium,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 265, 'column': 36, 'end_line': 265, 'end_column': 64}"
python.lang.security.audit.md5-used-as-password.md5-used-as-password,It looks like MD5 is used as a password hash. MD5 is not considered a secure password hash because it can be cracked by an attacker in a short amount of time. Use a suitable password hashing function such as scrypt. You can use `hashlib.scrypt`.,unresolved,2023-04-28T08:59:51.762480Z,medium,medium,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 141, 'column': 25, 'end_line': 141, 'end_column': 58}"
